action,from_tag_id,from_slug,from_identifier,to_tag_id,to_slug,to_identifier,sketch_count,status,batch_id,notes
merge,X1FlGxAAACQAS_nC,book,book,X1FlIRAAACQAS_ng,books,books,6,published,1,pilot — published; book archived
merge,X1FloRAAAGYIS_xq,chart,chart,X1FlpxAAACUAS_yM,charts,charts,32,published,2,published; chart archived
merge,X1FpihAAAGYITBBB,idea,idea,X1FpkBAAACUATBBg,ideas,ideas,5,published,2,published; idea archived
merge,X1FtbhAAACIATCRg,product,product,X1FtgBAAAGYITCS_,products,products,12,published,2,published; product archived
merge,X1FkvhAAACIAS_fc,baby,baby,X1FsaxAAAGYITB8k,parenting,parenting,3,published,2,published; baby archived
merge,X1FkuBAAACUAS_e-,babies,babies,X1FsaxAAAGYITB8k,parenting,parenting,3,published,2,published; babies archived
merge,X1FlMhAAAGYIS_o3,brand,brand,X1FlOBAAACIAS_pV,branding,branding,2,published,3,published; brand archived
merge,X1FtChAAAGYITCJe,pomegranate,pomegranate,X1FoahAAAGYITAp7,food-and-drink,food and drink,2,published,3,published; pomegranate archived
merge,X1Fk0BAAACUAS_gz,barnacles,barnacles,X1FkcBAAAGYIS_ZK,animals,animals,2,published,3,published; barnacles archived
merge,X1FpPxAAACIATA6_,hci,hci,X1FwUhAAACIATDNn,ux,ux,2,published,3,published; hci archived
merge,X6MUfBAAACAAsQ_z,mindmap,mindmap,X1FvoBAAACQATC_F,thinking-tool,thinking tool,3,published,3,published; mindmap archived
merge,X1FrohAAACIATBsg,model,model,X1FofBAAACIATArW,framework,framework,3,published,3,published; model archived
merge,X1FnFRAAACIATAPm,development,development,X1Fu1BAAACUATCuk,software,software,11,published,3,published; development archived
merge,X1FlShAAACIAS_qu,building,building,X1FklRAAACIAS_cL,architecture,architecture,6,published,3,published; building archived
merge,X6MQzhAAACAAsP9k,domestic-advice,domestic advice,X3CQhRIAAEhqtfzb,relationships,relationships,9,published,3,published; domestic-advice archived
merge,X5yBTxAAACIAk6kB,holiday,holiday,X1Fv7hAAACUATDFZ,travel,travel,10,published,3,published; holiday archived
remove,X1FqFhAAACQATBMT,isa,isa,,,,3,published,3,published; isa archived
remove,X1FqBBAAAGYITBK2,internet,internet,,,,6,published,3,published; internet archived
remove,X1FpohAAACIATBC-,ikea,ikea,,,,2,published,3,published; ikea archived
remove,X1FpnBAAACIATBCf,identity,identity,,,,2,published,3,published; identity archived
remove,X1FnDxAAACIATAPG,design-tool,design tool,,,,7,published,3,published; design-tool archived
remove,X1FmzhAAACIATAJ6,day,day,,,,2,published,3,published; day archived
remove,X1FmXBAAACUATAAr,consumerism,consumerism,,,,2,published,3,published; consumerism archived
remove,X1FlFRAAACIAS_mj,boating,boating,,,,2,published,3,published; boating archived
remove,X1FkBBAAACQAS_Qa,2x2,2x2,,,,8,published,3,published; 2x2 archived
remove,X1FwHRAAACQATDJR,tv,tv,,,,3,published,3,published; tv archived
remove,X1FsjRAAACUATB_W,people,people,,,,2,published,3,published; people archived
remove,X1FsUxAAACUATB6q,outdoors,outdoors,,,,4,published,3,published; outdoors archived
remove,X1FsRxAAACIATB5y,organization,organization,,,,2,published,3,published; organization archived
remove,X1FsABAAACQATB0F,networking,networking,,,,3,published,3,published; networking archived
remove,X1Fr-xAAACQATBzn,needs,needs,,,,3,published,3,published; needs archived
remove,X1Fr3RAAAGYITBxP,name,name,,,,2,published,3,published; name archived
remove,X1FnLBAAACQATARZ,distance,distance,,,,4,published,3,published; distance archived
merge,X1FwFxAAACUATDIw,turtle,turtle,X1FkcBAAAGYIS_ZK,animals,animals,2,published,4,published; turtle archived
